Integration,,,,,,,,,,,,,,,,,,
协议,链,Supply Coins,Coins Integrated,池子 TVL,收益率,产品上线,类别,DD,产品,产品描述,产品网页,池子类别,Onboarding,预算,POC,执行,接入情况,实时数据
Ember (Bitwise),ETH,USDC,-,3M,10%,/,Private Credit,[Bitwise]Binance Web3 Earn DD Doc - Bitwise RWA Multiply Vault.docx,RWA Vault,循环贷：PST、sUSDai 和 PRIME,https://ember.so/earn/PPLUS,活期,Projects' campaign info 项目信息收集,"$300,000",Cece,预算 + 合约,WK,
Re,ETH,USDC,reUSD / reUSDe,20M,6 / 12%,/,Reinsurance,[W3E] re.xyz DD,Junior & Senior,资金直接用于承保现实世界中的再保险合同，靠承担特定保险尾部风险赚取保费。再保险即 “保险公司的保险”，通过承接分流传统保险公司的尾部或巨灾赔付风险，直接赚取其让渡的保险保费作为核心收益,https://app.re.xyz/reusde,活期,Projects' campaign info 项目信息收集,-,Terry,产品 + 预算,-,
DMZ,BNB,USDT,rAI,100k,14%,-,Stocks,DMZ DD (rAI & rSTR),rAI Stocks basket,"资金投向美股科技ETF及STRC永续优先股，主要通过赚取底层资产的固定股息，及卖出备兑看涨期权的权利金获利。US Tech ETFs (QQQI, NVDY, etc.) executing covered calls, and STRC perpetual preferred shares",https://sp.rwalpha.ai/vault/AI,活期,,积分,Terry,预算 + 合约,Earn ,
Nest Credit (Plume),BNB,USDT,nOPAL,30M,12%,/,Private Credit,[Jul 15 2026] Binance Earn BlackOpal DDQ,BlackOpal LiquidStone II,BlackOpal 旗下的 LiquidStone II 基金产生，该基金投资于经过外汇对冲的短期巴西消费者信用卡应收账款。LiquidStone II fund part of BlackOpal—which invests in short-term Brazilian consumer credit card receivables that are hedged against foreign exchange risk.,https://www.nest.credit/vaults/nest-opal-vault,活期,Projects' campaign info 项目信息收集,"$300,000",Cece,预算 + 合约,WK 已接入，需修改,✅
Unitas,BNB,XAUT,XGLD,100k,3%,/,Gold,黄金xGLD2026/06,Unitas Gold (XGLD),不直接持有实物金块，而是将代币化黄金衍生品（XAUt）投入DeFi的Delta中性策略赚取套利收益。,https://evm.unitas.so/xgld,活期,Projects' campaign info 项目信息收集,"$300,000",Cece,预算 + 合约,Earn 已接入,
Ondo,BNB,USDT,USDY,2.1B,4%,/,TBills,-,Ondo TBill (USDY),由短期美国国债和银行存款担保的代币化收益凭证，兼具稳定币的便利性与美债的利息收益,https://app.ondo.finance/assets/usdy?tab=buy&fromToken=usdt&toToken=usdy,活期,,"$300,000",Terry,合约,-,
OpenTrade,ETH,USDC,PRIME+,0,6%,/,Money Market Fund,[W3E] OpenTrade PRIME+ DD,PRIME+ Vault,"货币市场基金、短期国债、投资级企业债 ETF、商业票据及私人信贷等高流动性固收工具，以赚取固定利息收益。Highly liquid fixed-income instruments—such as money market funds, short-term Treasury bills, investment-grade corporate bond ETFs, commercial paper, and private credit—to secure fixed interest income.",https://primeplusvault.lovable.app/,活期,Projects' campaign info 项目信息收集,"$300,000",Cece,产品 + 合约,Earn ,
,,,,,,,,,,,,-,,"$1,500,000",,,,
待确认,,,,,,,,,,,,,,,,,,
USDai,ARB,USDai,sUSDai,400M,8%,/,Private Credit,[USDai] W3E DD,Staked USDai,,https://app.usd.ai/stake,活期,,"$300,000",Terry,预算,-,
OnRe <> Plume,SOL,USDC,ONyc,120M,12%,/,Reinsurance,-,OnRe tokenized reinsurance asset,将DeFi稳定币抵押品（sUSDe）用于承保传统再保险合同，收益叠加了DeFi基础利率与真实保险溢价（保费）。Real-world insurance risk pools and premium reserves.,https://app.onre.finance/earn,活期,,-,Cece,产品,-,
Asseto <> Plume,ETH,USDC,NGI+,4M,15%,x,Private Credit,-,The Partners Group Next Generation Infrastructure - Class PC USD ACC,,https://reale.finance/distribution/NGIPlus_ETH,活期,,积分,Cece,产品,WK,
FalconX <> Plume,ETH,USDC,nFXCF,27M,,/,Private Credit,-,,,https://www.nest.credit/vaults/nest-falconx-clo,活期,,-,Cece,产品,-,
Ethena Vaults,,,,,,,,-,,,,活期,,-,,,-,
Ember (Securitize),ETH,USDT,-,0,7%,x,Bond,-,Corporate Bond product (七月中上线),,-,活期,,-,Terry,产品,-,
