序号,协议,链,操作步骤,交易类型,金额,tx hash / signature,截图,时间(UTC),验证状态,给解析的要点
1,Ember Bitwise Premium+,Ethereum,vault 页 Deposit 1 USDC,申购-提交入队,1 USDC,0xf53c337104ff7bdd28af59ba757efe4be09b1afc7bacd01e5cfc511e12bfc94f,Ember-deposit-queued-20260803.png,2026-08-03 ~13:59,✅链上已验,🔴钱扣了但无份额mint；入口0x626d3410450c0a716d721e6a3c6b75a36d00e913；方法0x6e553f65 deposit(uint256,address)；事件0x9cc70bb6a09a…
2,Ember Bitwise Premium+,Ethereum,等 8/4 00:00 批处理后份额到账,申购-份额到账,,⬜待补,⬜待截图,,⬜待做,批处理后才铸份额；这笔能揭示份额代币地址
3,Ember Bitwise Premium+,Ethereum,点排队条目的 Cancel,取消排队申购,,⬜待补,⬜待截图,,⬜待做,UI 有 Cancel 按钮，是独立交易类型
4,Re reUSDe,Ethereum,Swap tab 1 USDC → reUSDe,二级市场swap-失败,1 USDC,—（execution reverted: 0xcea9e31d）,⬜待截图,2026-08-03,✅UI已证,🔴走 ParaSwap Augustus V6.2 (0x6a000f20005980200259b80c5102003040001068, version=6.2.0)，方法 swapExactAmountIn；不能算申购
5,Re reUSDe,Ethereum,Mint tab 输入 1 USDe,申购-被最小额拦截,1 USDe,—,⬜待截图,2026-08-03,✅UI已证,🔴最小申购 250 USDe；汇率 1 reUSDe = 1.3974 USDe
6,Re reUSDe,Ethereum,Redeem tab,赎回-功能关闭,—,—,⬜待截图,2026-08-03,✅UI已证,🔴"Redeem is currently closed / No redemption window is open"→CSV标活期是错的
7,Orca Whirlpools,Solana,Trade → Swap,Swap（两跳）,—,B6Ago4ntzqmPgcPaYgDeavYPiFcnLSKj7agLHmypsEYC5WxwPP62qBCAfKDCBUsnDo6Nscbm8jvb6a7SQj9ShoK,⬜待截图,2026-08-03 07:33:57,✅链上已验,Anchor: Swap → TwoHopSwap；买入 ORCA 代币
8,Orca Whirlpools,Solana,Pools → Create Position（自动换币腿）,Autoswap-经聚合器,USDC -0.510447,danFLgRuT6EGrWUZesDuAqq1d1zcsuaL1ZT2LGZFQWs1x5Z2WGqXnt2jKuj8WRTKRTFodJxX2vYrALYaHXumvQ1,Orca-openposition-confirm.png,2026-08-03 07:37:50,✅链上已验,🔴不是开仓！是 Autoswap；聚合器 oBbXuJJbV6yhGFaCCFfFmf7ko1n7NNk9a2eh3iAGH3P
9,Orca Whirlpools,Solana,同上（真正的开仓）,开仓 OpenPosition,USDC -0.476861,54G7sZ99HHPsruwcdYNHCN7ztRm1Re6JZS1qp1JqzsoCydFxrpWPGPsKvFfgKTnSWbsxysatumwUEWg2FiG9ibWm,Orca-openposition-confirm.png,2026-08-03 07:37:50,✅链上已验,🔴OpenPositionWithTokenExtensions；仓位NFT FLGBtfD9… 0→1；NFT 属 Token-2022 程序
10,Orca Whirlpools,Solana,同上（附带）,优先费/Tip,—,4ZnqM4G8eiw4iLDgCgDPq2k12ouxzoe5CUHiUe8bRcS61z8TKiLW4kr7LTyTJc1zLz4YXG5CLqJTbaGVW53vFdyG,—,2026-08-03 07:37:50,✅链上已验,仅 System transfer；不算仓位资金
11,Orca Whirlpools,Solana,仓位页 → Withdraw,移除流动性（未关仓）,USDC +0.00067 / WSOL 0.00001,a3JWN8bQ5pNeyVYMWifcvjhhxzBcyTWdvTL4chzToLH8ixnM28wBGYCrVUCM8gNBKNivyirgkPxH9T7FtKCE7Lj,Orca-removeliq-solscan.png,2026-08-03 07:38:57,✅链上已验,🔴仓位NFT仍为1.0→未关仓；含 Jito tip 0.000002607 SOL 不算仓位资金
12,Orca Whirlpools,Solana,关仓 ClosePosition,关仓,,⬜待补,⬜待截图,,⬜待做,移除流动性≠关仓，需独立样本
13,Orca Whirlpools,Solana,收手续费 collect fees,收手续费,,⬜待补,⬜待截图,,⬜待做,CLMM 特有，需先有交易量
14,BNSOL,Solana,Binance App 质押 SOL,质押铸造,-0.336987 SOL / +0.297781 BNSOL,33fXGtKbgxTe8d9MtqPiPncQ3jQUKysxPrU8fPfSYp5gGzoH6KuDogNCjYHMyzhU56PR1vWYRzbDVL6FWC7qUDhP,bnsol-stake-confirm.png,2026-07-29 15:30:23,✅链上已验,质押池 SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy；指令 DepositSol；费率≈0.61%；汇率≈1.1248
